"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"验证我的联系页面元素","1319","exerciseCheckTest()","","Tue Apr 28 15:48:01 CST 2026","passed","Tue Apr 28 15:48:02 CST 2026","","com.demo.AllureTest","com.demo.AllureTest","exerciseCheckTest"
"验证题库操作中试题管理功能","640","mybankPageManage()","","Tue Apr 28 15:48:28 CST 2026","passed","Tue Apr 28 15:48:29 CST 2026","","com.demo.AllureTest","com.demo.AllureTest","mybankPageManage"
"验证字典管理中新建字典成功是否正常显示","2343","DicPageCreateSuccessTest()","","Tue Apr 28 15:48:56 CST 2026","passed","Tue Apr 28 15:48:58 CST 2026","","com.demo.AllureTest","com.demo.AllureTest","DicPageCreateSuccessTest"
"新建岗位测试，存在创建失败and创建成功","4466","JobCreateTest()","","Tue Apr 28 15:49:07 CST 2026","passed","Tue Apr 28 15:49:11 CST 2026","","com.demo.AllureTest","com.demo.AllureTest","JobCreateTest"
"验证题库的搜索功能","1448","mybankSearchTest()","","Tue Apr 28 15:48:31 CST 2026","passed","Tue Apr 28 15:48:32 CST 2026","","com.demo.AllureTest","com.demo.AllureTest","mybankSearchTest"
"验证登陆成功以后版本按钮","7169","publicVersionTest()","","Tue Apr 28 15:47:28 CST 2026","passed","Tue Apr 28 15:47:35 CST 2026","","com.demo.AllureTest","com.demo.AllureTest","publicVersionTest"
"验证注册页面是否正确","859","checkRegisterPageRight()","","Tue Apr 28 15:47:16 CST 2026","passed","Tue Apr 28 15:47:17 CST 2026","","com.demo.AllureTest","com.demo.AllureTest","checkRegisterPageRight"
"验证我的练习列设置功能","2629","exerciselistTest()","","Tue Apr 28 15:48:02 CST 2026","passed","Tue Apr 28 15:48:05 CST 2026","","com.demo.AllureTest","com.demo.AllureTest","exerciselistTest"
"验证登录成功以后设置按钮","3553","publicSettionTest()","","Tue Apr 28 15:47:35 CST 2026","passed","Tue Apr 28 15:47:39 CST 2026","","com.demo.AllureTest","com.demo.AllureTest","publicSettionTest"
"验证登录失败","2447","loginFailTest()","","Tue Apr 28 15:47:20 CST 2026","passed","Tue Apr 28 15:47:22 CST 2026","","com.demo.AllureTest","com.demo.AllureTest","loginFailTest"
"验证字典管理中一页存放多少条数据","6582","DicPageListTest()","","Tue Apr 28 15:48:47 CST 2026","passed","Tue Apr 28 15:48:53 CST 2026","","com.demo.AllureTest","com.demo.AllureTest","DicPageListTest"
"验证登录成功","5803","loginSuccessTest()","","Tue Apr 28 15:47:23 CST 2026","passed","Tue Apr 28 15:47:28 CST 2026","","com.demo.AllureTest","com.demo.AllureTest","loginSuccessTest"
"验证题库删除功能","1905","mybankDeleteTest()","","Tue Apr 28 15:48:29 CST 2026","passed","Tue Apr 28 15:48:30 CST 2026","","com.demo.AllureTest","com.demo.AllureTest","mybankDeleteTest"
"验证新建题库失败场景","3213","mybankPageNewFail()","","Tue Apr 28 15:48:11 CST 2026","passed","Tue Apr 28 15:48:14 CST 2026","","com.demo.AllureTest","com.demo.AllureTest","mybankPageNewFail"
"验证字典管理中新建字典失败提示提示是否正常显示","2820","DicPageCreateFailTest()","","Tue Apr 28 15:48:53 CST 2026","passed","Tue Apr 28 15:48:56 CST 2026","","com.demo.AllureTest","com.demo.AllureTest","DicPageCreateFailTest"
"验证个人设置中ai设置页面功能","932","SettionPage3Test()","","Tue Apr 28 15:49:16 CST 2026","passed","Tue Apr 28 15:49:17 CST 2026","","com.demo.AllureTest","com.demo.AllureTest","SettionPage3Test"
"验证题库操作中文本导入功能","2396","createProblemTest()","","Tue Apr 28 15:48:26 CST 2026","passed","Tue Apr 28 15:48:28 CST 2026","","com.demo.AllureTest","com.demo.AllureTest","createProblemTest"
"验证注册失败功能","3276","RegisterFailTest()","","Tue Apr 28 15:47:17 CST 2026","passed","Tue Apr 28 15:47:20 CST 2026","","com.demo.AllureTest","com.demo.AllureTest","RegisterFailTest"
"验证模板广场中添加模板功能","12403","tempPageCreateTest()","","Tue Apr 28 15:48:33 CST 2026","passed","Tue Apr 28 15:48:46 CST 2026","","com.demo.AllureTest","com.demo.AllureTest","tempPageCreateTest"
"验证我的练习中是否添加刚才的练习题库，并验证操作中的删除操作","1415","exerciseDeleteTest()","","Tue Apr 28 15:48:08 CST 2026","passed","Tue Apr 28 15:48:10 CST 2026","","com.demo.AllureTest","com.demo.AllureTest","exerciseDeleteTest"
"验证我的练习中题库中练习操作","3483","exerciseTest()","","Tue Apr 28 15:48:05 CST 2026","passed","Tue Apr 28 15:48:08 CST 2026","","com.demo.AllureTest","com.demo.AllureTest","exerciseTest"
"验证未登录状态下访问其他页面是否会跳转到登陆界面","17588","BeforeTest()","","Tue Apr 28 15:47:39 CST 2026","passed","Tue Apr 28 15:47:57 CST 2026","","com.demo.AllureTest","com.demo.AllureTest","BeforeTest"
"验证字典管理中对字典操作栏中的操作是否可以正常使用","7644","DicPageAddDictTest()","","Tue Apr 28 15:48:58 CST 2026","passed","Tue Apr 28 15:49:06 CST 2026","","com.demo.AllureTest","com.demo.AllureTest","DicPageAddDictTest"
"验证我的题库中主要元素的出现","974","mybankPageCheckTest()","","Tue Apr 28 15:48:10 CST 2026","passed","Tue Apr 28 15:48:11 CST 2026","","com.demo.AllureTest","com.demo.AllureTest","mybankPageCheckTest"
"验证我的项目页面元素","1447","ProjectCheckTest()","","Tue Apr 28 15:47:59 CST 2026","passed","Tue Apr 28 15:48:01 CST 2026","","com.demo.AllureTest","com.demo.AllureTest","ProjectCheckTest"
"验证字典管理中新建字典成功是否正常显示","843","JobPageCheckTest()","","Tue Apr 28 15:49:06 CST 2026","passed","Tue Apr 28 15:49:07 CST 2026","","com.demo.AllureTest","com.demo.AllureTest","JobPageCheckTest"
"验证首页页面主要元素","2599","HomePageCheckTest()","","Tue Apr 28 15:47:57 CST 2026","passed","Tue Apr 28 15:47:59 CST 2026","","com.demo.AllureTest","com.demo.AllureTest","HomePageCheckTest"
"验证返回登录页面按钮功能","226","checkReturnButtonTest()","","Tue Apr 28 15:47:20 CST 2026","passed","Tue Apr 28 15:47:20 CST 2026","","com.demo.AllureTest","com.demo.AllureTest","checkReturnButtonTest"
"验证模板广场页面主要元素","1175","tempPageTest()","","Tue Apr 28 15:48:32 CST 2026","passed","Tue Apr 28 15:48:33 CST 2026","","com.demo.AllureTest","com.demo.AllureTest","tempPageTest"
"验证登录页面核心元素是否正确展示","142","checkLoginPageRight()","","Tue Apr 28 15:47:15 CST 2026","passed","Tue Apr 28 15:47:16 CST 2026","","com.demo.AllureTest","com.demo.AllureTest","checkLoginPageRight"
"验证个人设置中页面是否正确显示","710","SettionPageCheckTest()","","Tue Apr 28 15:49:11 CST 2026","passed","Tue Apr 28 15:49:12 CST 2026","","com.demo.AllureTest","com.demo.AllureTest","SettionPageCheckTest"
"验证字典管理页面元素","946","DicPageCheckTest()","","Tue Apr 28 15:48:46 CST 2026","passed","Tue Apr 28 15:48:47 CST 2026","","com.demo.AllureTest","com.demo.AllureTest","DicPageCheckTest"
"验证新建题库成功场景","11649","mybankPageNewSuccess()","","Tue Apr 28 15:48:14 CST 2026","passed","Tue Apr 28 15:48:26 CST 2026","","com.demo.AllureTest","com.demo.AllureTest","mybankPageNewSuccess"
"验证个人设置中安全设置页面功能","1532","SettionPage2Test()","","Tue Apr 28 15:49:14 CST 2026","passed","Tue Apr 28 15:49:16 CST 2026","","com.demo.AllureTest","com.demo.AllureTest","SettionPage2Test"
